pred,label,confidence,utility,decision,label_name
8,8,0.9991825222969055,0.5448155586675115,APPROVE,Colorectal Adenocarcinoma
4,4,0.9998677968978882,0.5452952508881994,APPROVE,Mucus
4,4,0.9998881816864014,0.5453095202401587,APPROVE,Mucus
3,8,0.9627776741981506,0.5193321649983831,APPROVE,Colorectal Adenocarcinoma
4,4,0.9354814291000366,0.5002247934297033,APPROVE,Mucus
4,4,0.9997625946998596,0.5452216093495794,APPROVE,Mucus
8,8,0.9945683479309082,0.5415856366113134,APPROVE,Colorectal Adenocarcinoma
0,0,0.9999573230743408,0.5453579192117163,APPROVE,Adipose
6,6,0.9999982118606567,0.5453865413621374,APPROVE,Normal Colon Mucosa
8,8,0.9991474151611328,0.5447909836724706,APPROVE,Colorectal Adenocarcinoma
8,8,0.8189706206321716,0.41866722750219776,BLOCK,Colorectal Adenocarcinoma
6,6,0.999988317489624,0.5453796153024145,APPROVE,Normal Colon Mucosa
8,8,0.9999706745147705,0.545367265220017,APPROVE,Colorectal Adenocarcinoma
6,6,0.9999662637710571,0.5453641776994177,APPROVE,Normal Colon Mucosa
0,0,0.9799984097480774,0.5313866798833319,APPROVE,Adipose
5,5,0.8907667398452759,0.4689245109513708,BLOCK,Smooth Muscle
0,0,0.9930846691131592,0.5405470614388891,APPROVE,Adipose
2,2,0.9996058344841003,0.5451118771985479,APPROVE,Debris
0,0,0.9997560381889343,0.5452170197919317,APPROVE,Adipose
5,5,0.9936588406562805,0.540948981519074,APPROVE,Smooth Muscle
2,2,0.9996325969696045,0.5451306109384008,APPROVE,Debris
0,0,0.9302648305892944,0.49657317447218374,BLOCK,Adipose
1,1,0.999948263168335,0.5453515772775122,APPROVE,Background
8,8,0.9997499585151672,0.5452127640202947,APPROVE,Colorectal Adenocarcinoma
8,8,0.6211560368537903,0.2801970188573309,BLOCK,Colorectal Adenocarcinoma
0,0,0.9936224818229675,0.5409235303357549,APPROVE,Adipose
1,1,0.9999942779541016,0.5453837876275488,APPROVE,Background
6,6,0.9995104074478149,0.5450450782731481,APPROVE,Normal Colon Mucosa
6,6,1.0,0.5453877930596777,APPROVE,Normal Colon Mucosa
5,0,0.5300558805465698,0.21642690944227655,BLOCK,Adipose
0,0,0.9999905824661255,0.5453812007859655,APPROVE,Adipose
8,8,0.9992570281028748,0.54486771273169,APPROVE,Colorectal Adenocarcinoma
0,0,0.9997555613517761,0.5452478397415307,APPROVE,Adipose
0,0,0.9996780157089233,0.5451935577915337,APPROVE,Adipose
1,1,0.9999849796295166,0.545408432535949,APPROVE,Background
2,7,0.7739319801330566,0.387171332888427,BLOCK,Cancer-Assoc. Stroma
5,5,0.9998145699501038,0.54528914576036,APPROVE,Smooth Muscle
3,3,0.9982026815414429,0.5441608238742973,APPROVE,Lymphocytes
4,4,0.9927054047584534,0.5403127301262047,APPROVE,Mucus
6,6,0.9981252551078796,0.5441066253708031,APPROVE,Normal Colon Mucosa
5,5,0.9989109039306641,0.5446565795467522,APPROVE,Smooth Muscle
6,6,0.9996860027313232,0.5451991487072136,APPROVE,Normal Colon Mucosa
4,4,0.9999932050704956,0.5454141903446342,APPROVE,Mucus
8,8,0.9935897588729858,0.5409317780063775,APPROVE,Colorectal Adenocarcinoma
0,0,0.5732904076576233,0.24672223215562364,BLOCK,Adipose
3,3,0.9999390840530396,0.545376305632415,APPROVE,Lymphocytes
6,6,0.9998681545257568,0.5453266549633171,APPROVE,Normal Colon Mucosa
2,2,0.998842179775238,0.544608472637954,APPROVE,Debris
6,6,0.9541385769844055,0.5133159506843712,APPROVE,Normal Colon Mucosa
7,7,0.9867275357246399,0.5361282218025353,APPROVE,Cancer-Assoc. Stroma
3,3,0.9998509883880615,0.5453146386669304,APPROVE,Lymphocytes
1,1,0.999943733215332,0.5453795600460197,APPROVE,Background
3,3,0.9999995231628418,0.5454186130092766,APPROVE,Lymphocytes
3,3,0.9986191987991333,0.5444523859546807,APPROVE,Lymphocytes
0,0,0.6460025310516357,0.2976207185314324,BLOCK,Adipose
1,1,0.9999101161956787,0.5453560281322625,APPROVE,Background
7,7,0.593536913394928,0.26089478617173695,BLOCK,Cancer-Assoc. Stroma
0,0,0.9864535927772522,0.5359364617393639,APPROVE,Adipose
0,0,0.9993528723716736,0.5449659574554588,APPROVE,Adipose
0,0,0.9925536513328552,0.540206502728286,APPROVE,Adipose
0,4,0.9984530210494995,0.544336061529937,APPROVE,Mucus
4,4,0.9999815225601196,0.5454060125873711,APPROVE,Mucus
4,4,0.9990307092666626,0.5447404432819511,APPROVE,Mucus
0,0,0.6569033861160278,0.3052513170765068,BLOCK,Adipose
8,8,0.9996079802513123,0.5451113580193637,APPROVE,Colorectal Adenocarcinoma
3,3,0.9999512434005737,0.5453516422238468,APPROVE,Lymphocytes
0,4,0.8173140287399292,0.41750559196139553,BLOCK,Mucus
0,0,0.9999572038650513,0.5453558145489811,APPROVE,Adipose
7,7,0.42373016476631165,0.1419968871798633,BLOCK,Cancer-Assoc. Stroma
4,4,0.9894042015075684,0.537968712898743,APPROVE,Mucus
0,0,0.9953721165657043,0.5421462534394382,APPROVE,Adipose
8,8,0.9978708028793335,0.5438953338589786,APPROVE,Colorectal Adenocarcinoma
0,0,0.999614953994751,0.5451162396397708,APPROVE,Adipose
8,6,0.5752325654029846,0.24804856762553434,BLOCK,Normal Colon Mucosa
2,2,0.9998018145561218,0.5452470420327304,APPROVE,Debris
8,6,0.626099705696106,0.28365556583071927,BLOCK,Normal Colon Mucosa
